T,O,H,L,C,V,A,N,BV,BA
1500004800000,0.00005000,0.00005300,0.00001000,0.00004790,663152.00000000,30.55108144,43,559224.00000000,25.65468144
1500004860000,0.00004000,0.00004600,0.00003500,0.00003503,391775.00000000,17.31214051,45,389275.00000000,17.22462551
1500004920000,0.00003505,0.00004490,0.00003503,0.00003508,159486.00000000,6.30620966,33,133660.00000000,5.40084262
1500004980000,0.00004000,0.00004400,0.00003510,0.00004000,171137.00000000,7.05880400,37,154937.00000000,6.48020400
1500005040000,0.00004000,0.00004000,0.00003601,0.00003615,84362.00000000,3.26440135,42,59487.00000000,2.36448000
1500005100000,0.00003900,0.00004000,0.00003660,0.00003672,62541.00000000,2.41258502,26,43239.00000000,1.70368182
1500005160000,0.00003672,0.00003889,0.00003660,0.00003700,256207.00000000,9.56369706,37,217572.00000000,8.14431474
1500005220000,0.00003660,0.00003889,0.00003655,0.00003880,270859.00000000,10.19042036,30,216635.00000000,8.19816162
1500005280000,0.00003800,0.00003999,0.00003800,0.00003968,153075.00000000,6.05964490,16,139996.00000000,5.56008290
1500005340000,0.00003900,0.00004000,0.00003880,0.00004000,288864.00000000,11.49425692,49,257311.00000000,10.26843596
1500005400000,0.00004000,0.00004180,0.00003804,0.00004180,143783.00000000,5.71990880,29,112458.00000000,4.50667774
1500005460000,0.00004090,0.00004090,0.00003910,0.00003910,40296.00000000,1.62056910,5,39996.00000000,1.60883910
1500005520000,0.00004000,0.00004149,0.00003910,0.00004149,113553.00000000,4.56439920,21,108738.00000000,4.37359920
1500005580000,0.00004099,0.00004120,0.00004000,0.00004100,231864.00000000,9.48336308,18,222335.00000000,9.10216800
1500005640000,0.00004100,0.00004100,0.00004000,0.00004000,117089.00000000,4.70048472,20,14489.00000000,0.59325032
1500005700000,0.00004086,0.00004087,0.00004003,0.00004008,162241.00000000,6.60893073,12,154541.00000000,6.30027673
1500005760000,0.00004070,0.00004088,0.00004000,0.00004088,101352.00000000,4.10723956,25,77920.00000000,3.16939255
1500005820000,0.00004090,0.00004149,0.00004088,0.00004149,75453.00000000,3.09394650,18,75373.00000000,3.09067610
1500005880000,0.00004149,0.00004488,0.00004140,0.00004488,56328.00000000,2.40606163,25,41232.00000000,1.76245315
1500005940000,0.00004489,0.00004500,0.00004300,0.00004489,186389.00000000,8.37037619,35,167533.00000000,7.52570035
1500006000000,0.00004490,0.00004788,0.00004446,0.00004788,35853.00000000,1.62753076,24,29672.00000000,1.34969806
1500006060000,0.00004500,0.00004800,0.00004500,0.00004500,69348.00000000,3.22413122,24,40943.00000000,1.90294722
1500006120000,0.00004500,0.00004898,0.00004500,0.00004500,213418.00000000,9.84814192,42,108435.00000000,5.11989028
1500006180000,0.00004500,0.00004779,0.00004500,0.00004770,84627.00000000,3.96531250,16,82873.00000000,3.88628632
1500006240000,0.00004770,0.00004770,0.00004525,0.00004730,56104.00000000,2.55939320,12,8504.00000000,0.40437120
1500006300000,0.00004580,0.00004720,0.00004525,0.00004720,58454.00000000,2.70138271,23,27080.00000000,1.27505060
1500006360000,0.00004720,0.00004720,0.00004718,0.00004719,37708.00000000,1.77942360,10,35008.00000000,1.65203760
1500006420000,0.00004720,0.00004740,0.00004715,0.00004739,33239.00000000,1.56876653,18,19187.00000000,0.90576718
